id,hiragana,hinmoku,kubun,kubun2,note
3113,ぷらんたー（ぷらすちっくせい）,プランター（プラスチック製）,その他プラスチック,他プラ,
3114,ぷらすちっくてぶくろ（ざいたくいりょうかんけいのどうぐ）,プラスチック手袋（在宅医療関係の道具）,燃やせるゴミ,可燃,
3115,ぷらんたーすたんど（もくせい）,プランタースタンド（木製）,燃やせるゴミ,可燃,
3116,ぷらんたーすたんど（きんぞくせい）,プランタースタンド（金属製）,金属,金属,
3117,ふりーす,フリース,衣類・布類,衣類・布類,
3118,ふりーぺーぱー（むりょうでくばるれるているさっしるい）,フリーペーパー（無料で配られている冊子類）,雑誌・雑紙,雑誌・雑紙,
3119,ふりこみようし,振込用紙,燃やせるゴミ,可燃,
3120,ぶりざーどふらわー,ブリザードフラワー,燃やせるゴミ,可燃,
3121,ふりすびー,フリスビー,その他プラスチック,他プラ,
3122,ぷりんたー,プリンター,金属,金属,
3123,ぷりんたごっこ,プリンタゴッコ,金属,金属,
3124,ぷりんのびん,プリンのびん,びん,びん,
3125,ぷりんのようき・ふた（かみせい）,プリンの容器・ふた（紙製）,燃やせるゴミ,可燃,
3126,ぷりんのようき・ふた（ぷらすちっくせい）,プリンの容器・ふた（プラスチック製）,容器包装プラスチック,容プラ,
3127,ぶるーしーと,ブルーシート,その他プラスチック,他プラ,
3128,ぶるーれいぷれいやー,ブルーレイプレイヤー,金属（エコ）,金属（エコ）,
3129,ふるい,ふるい,金属,金属,
3130,ＢＤ／ＤＶＤ／ＣＤどらいぶ,ＢＤ／ＤＶＤ／ＣＤドライブ,金属（エコ）,金属（エコ）,
3131,ＢＤぷれいやー・ＤＶＤぷれいや―,ＢＤプレイヤー・ＤＶＤプレイヤ―,金属（エコ）,金属（エコ）,
3132,ふるぎ,古着,衣類・布類,衣類・布類,わたが含まれている場合は「可燃」。
3133,ぷれいじむ,プレイジム,燃やせるゴミ,可燃,プラスチック製の物であれば「他プラ」。
3134,ぷれいまっと（ぬのせい）,プレイマット（布製）,燃やせるゴミ,可燃,
3135,ぷれいまっと（うれたんせい）,プレイマット（ウレタン製）,その他プラスチック,他プラ,
3136,ぶれっどけーす（きんぞくせい）,ブレッドケース（金属製）,金属,金属,
3137,ぶれっどけーす（もくせい）,ブレッドケース（木製）,燃やせるゴミ,可燃,
3138,ぶれっどけーす（ぷらすちっくせい）,ブレッドケース（プラスチック製）,その他プラスチック,他プラ,
3139,ぷれぱらーと,プレパラート,燃やせないごみ,不燃,
3140,ふろあーもっぷ（ぷらすちっくせい）,フロアーモップ（プラスチック製）,その他プラスチック,他プラ,
3141,ふろあーもっぷ（きんぞくせい）,フロアーモップ（金属製）,金属,金属,
3142,ふろあーたいる,フロアータイル,燃やせるゴミ,可燃,
3143,ふろあまっと（じどうしゃよう）,フロアマット（自動車用）,燃やせるゴミ,可燃,
3144,ふろいす（ぷらすちっくせい）,風呂いす（プラスチック製）,その他プラスチック,他プラ,
3145,ふろがま,風呂釜,金属,金属,
3146,ふろおけ（もくせい）,風呂桶（木製）,燃やせるゴミ,可燃,
3147,ふろおけ（ぷらすちっくせい）,風呂桶（プラスチック製）,その他プラスチック,他プラ,
3148,ふろのふた（しゃったーしき）,風呂のふた（シャッター式）,その他プラスチック,他プラ,
3149,ふろまっと（すぽんじせい）,風呂マット（スポンジ製）,その他プラスチック,他プラ,
3150,ぶろーぶらし,ブローブラシ,その他プラスチック,他プラ,
3151,ふろーりんぐしーと,フローリングシート,燃やせるゴミ,可燃,
3152,ふろーりんぐほしゅうてーぷ,フローリング補修テープ,燃やせるゴミ,可燃,
3153,ぶろっく（こんくりーとせい）,ブロック（コンクリート製）,燃やせないごみ,不燃,
3154,ぶろっく（おもちゃ）,ブロック（おもちゃ）,その他プラスチック,他プラ,
3155,ふろっぴーでぃすく,フロッピーディスク,その他プラスチック,他プラ,
3156,ぷろじぇくしょんてれび,プロジェクションテレビ,金属（エコ）,金属（エコ）,「プロジェクションテレビ」であることを記載する。
3157,ぷろじぇくたー,プロジェクター,金属（エコ）,金属（エコ）,
3158,ぷろじぇくたーすくりーん,プロジェクタースクリーン,金属,金属,
3159,ふろしき,風呂敷,衣類・布類,衣類・布類,
3160,ぷろてくたー,プロテクター,燃やせるゴミ,可燃,
3161,ふろのいす（もくせい）,風呂の椅子（木製）,燃やせるゴミ,可燃,
3162,ふろのいす（ぷらすちっくせい）,風呂の椅子（プラスチック製）,その他プラスチック,他プラ,
3163,ぷろぱんがすぼんべ,プロパンガスボンベ,処理困難物,処理困難物,
3164,ぷろぽ（らじこんのそうしんき）,プロポ（ラジコンの送信機）,金属,金属,
3165,ぷろまいど,プロマイド,燃やせるゴミ,可燃,
3166,ぶろわ―（かていようこうぐ）,ブロワ―（家庭用工具）,金属,金属,
3167,ふろんとふぉーく（じてんしゃ）,フロントフォーク（自転車）,金属,金属,
3168,ふろのふた,風呂のふた,その他プラスチック,他プラ,
3169,ふろのまっと,風呂のマット,その他プラスチック,他プラ,
3170,くそ（ぺっと）,糞（ペット）,燃やせるゴミ,可燃,乾燥させ、袋を二重にして「可燃」。
3171,ぶんかたきつける,文化焚きつけ,燃やせるゴミ,可燃,
3172,ぶんちゃん,ぶんちん,金属,金属,
3173,ぶんどき（ぷらすちっくせい）,分度器（プラスチック製）,その他プラスチック,他プラ,
3174,ぶんぼうぐ（きんぞくせい）,文房具（金属製）,金属,金属,
3175,ぶんぼうぐ（ぷらすちっくせい）,文房具（プラスチック製）,その他プラスチック,他プラ,
3176,ふんまつせんざい,粉末洗剤,燃やせるゴミ,可燃,
3177,ふづくえ,文机,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
3178,ふんむき（きんぞくせい）,噴霧器（金属製）,金属,金属,
3179,ふんむき（ぷらすちっくせい）,噴霧器（プラスチック製）,その他プラスチック,他プラ,
3180,へあーあいろん,ヘアーアイロン,金属（エコ）,金属（エコ）,
3181,へあーどらいやー,ヘアードライヤー,金属（エコ）,金属（エコ）,
3182,へあすぷれー,ヘアスプレー,危険,危険,
3183,へあすぷれーのほうそうふぃるむ,ヘアスプレーの包装フィルム,容器包装プラスチック,容プラ,
3184,へあすぷれーのきゃっぷ（ぷらすちっくせい）,ヘアスプレーのキャップ（プラスチック製）,容器包装プラスチック,容プラ,
3185,へあかったー,ヘアカッター,金属,金属,
3186,へあからー（あるみちゅーぶ）,ヘアカラー（アルミチューブ）,金属,金属,
3187,へあからー（すぷれーかんしき）,ヘアカラー（スプレー缶式）,危険,危険,
3188,へあからーのようき（ぷらすちっくせい）,ヘアカラーの容器（プラスチック製）,容器包装プラスチック,容プラ,
3189,へあきゃっぷ,ヘアキャップ,燃やせるゴミ,可燃,
3190,へあばんど,ヘアバンド,燃やせるゴミ,可燃,
3191,へあーぶらし,ヘアーブラシ,その他プラスチック,他プラ,
3192,へあぴん,ヘアピン,金属,金属,
3193,へあわっくす（ようき）,ヘアワックス（容器）,容器包装プラスチック,容プラ,中身は取り除く。汚れが取れない物は「可燃」。
3194,ぺいんとすぷれーかん,ペイントスプレー缶,危険,危険,
3195,べーごま,ベーゴマ,金属,金属,
3196,ぺーぱーくらふと,ペーパークラフト,燃やせるゴミ,可燃,
3197,ぺーぱーたおる,ペーパータオル,燃やせるゴミ,可燃,
3198,ぺーぱーないふ（ぷらすちっくせい）,ペーパーナイフ（プラスチック製）,その他プラスチック,他プラ,
3199,ぺーぱーないふ（きんぞくせい）,ペーパーナイフ（金属製）,金属,金属,
3200,ぺーぱーなぷきん,ペーパーナプキン,燃やせるゴミ,可燃,
3201,ぺーぱーふぁすなー,ペーパーファスナー,その他プラスチック,他プラ,
3202,ぺーぱーほるだー（きんぞくせい）,ペーパーホルダー（金属製）,金属,金属,
3203,べーる,ベール,燃やせるゴミ,可燃,
3204,ぺーるかん（えんじんおいるよう）,ペール缶（エンジンオイル用）,金属,金属,
3205,ぺーるかん（ぷらすちっくせい）,ペール缶（プラスチック製）,その他プラスチック,他プラ,
3206,ぺぐ（きんぞくせい）,ペグ（金属製）,金属,金属,
3207,ぺだる（ぷらすちっくせい）,ペダル（プラスチック製）,その他プラスチック,他プラ,
3208,ぺだる（きんぞくせい）,ペダル（金属製）,金属,金属,
3209,べっこうせいひん,べっこう製品,燃やせないごみ,不燃,
3210,べっど（もくせい）,ベッド（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
3211,べっとがーど（もくせい）,ベットガード（木製）,燃やせるゴミ,可燃,
3212,べっとがーど（きんぞくせい）,ベットガード（金属製）,金属,金属,
3213,ぺっとがーど（さく、もくせい）,ペットガード（柵、木製）,燃やせるゴミ,可燃,
3214,ぺっとがーど（さく、きんぞくせい）,ペットガード（柵、金属製）,金属,金属,
3215,べっとかばー（ぬのせい）,ベットカバー（布製）,衣類・布類,衣類・布類,
3216,ぺっときゃりー,ペットキャリー,金属,金属,
3217,べっどさいどちぇすと（もくせい）,ベッドサイドチェスト（木製）,燃やせるゴミ,可燃,
3218,ぺっとしーと,ペットシート,燃やせるゴミ,可燃,
3219,へっどせっと,ヘッドセット,金属,金属,
3220,ぺっとそふぁー（きんぞくすぷりんぐいり）,ペットソファー（金属スプリング入り）,金属,金属,
3221,ぺっとそふぁー（きんぞくすぷりんぐなし）,ペットソファー（金属スプリング無し）,燃やせるゴミ,可燃,
3222,ぺっとのうんぱんけーす（けーじ）,ペットの運搬ケース（ケージ）,金属,金属,
3223,ぺっとのえさ・みずいれ（もくせい）,ペットのエサ・水入れ（木製）,燃やせるゴミ,可燃,
3224,ぺっとのえさ・みずいれ（ぷらすちっくせい）,ペットのエサ・水入れ（プラスチック製）,その他プラスチック,他プラ,
3225,ぺっとのえさ・みずいれ（きんぞくせい）,ペットのエサ・水入れ（金属製）,金属,金属,
3226,ぺっとのえさ・みずいれ（とうきせい）,ペットのエサ・水入れ（陶器製）,燃やせないごみ,不燃,
3227,ぺっとのこや（きんぞくせい）,ペットの小屋（金属製）,金属,金属,
3228,ぺっとのこや（ぷらすちっくせい）,ペットの小屋（プラスチック製）,その他プラスチック,他プラ,
3229,ぺっとのこや（もくせい）,ペットの小屋（木製）,燃やせるゴミ,可燃,
3230,べっど（きんぞくせい）,ベッド（金属製）,金属,金属,
3231,ぺっとのといれしーと,ペットのトイレシート,燃やせるゴミ,可燃,
3232,ぺっとのといれさ（しりかげるせい）,ペットのトイレ砂（シリカゲル性）,燃やせるゴミ,可燃,
3233,ぺっとのふん,ペットの糞,燃やせるゴミ,可燃,
3234,ぺっとばぎー,ペットバギー,金属,金属,
3235,ぺっとふーど（しょくじ）,ペットフード（食事）,燃やせるゴミ,可燃,
3236,ぺっとふーどのようき（かみせい）,ペットフードの容器（紙製）,燃やせるゴミ,可燃,
3237,ぺっとふーどのようき（ぷらすちっくせい）,ペットフードの容器（プラスチック製）,容器包装プラスチック,容プラ,
3238,ぺっとふーどのようき（きんぞくせい）,ペットフードの容器（金属製）,金属,金属,
3239,ぺっとふぇんす,ペットフェンス,金属,金属,
3240,べっどふれーむ（もくせい）,ベッドフレーム（木製）,燃やせるゴミ,可燃,
3241,べっどふれーむ（きんぞくせい）,ベッドフレーム（金属製）,金属,金属,
3242,へっどぼーど（べっとのとうそくのいた）,ヘッドボード（ベットの頭側の板）,燃やせるゴミ,可燃,
3243,ぺっとのといれさ（こうぶつせい）,ペットのトイレ砂（鉱物性）,燃やせないごみ,不燃,糞は乾燥させ、袋に入れて「可燃」。
3244,ぺっとぼとる,ペットボトル,ペット,ペット,工作、外で使用していた物も中身を空にするラベルやキャップは「容プラ」。
3245,ぺっとぼとるかばー,ペットボトルカバー,燃やせるゴミ,可燃,
3246,ぺっとぼとるのふた,ペットボトルのふた,容器包装プラスチック,容プラ,
3247,ぺっとぼとるほるだー,ペットボトルホルダー,燃やせるゴミ,可燃,保温可能なものは「金属」。プラスチック製のものは「他プラ」。
3248,ぺっとぼとるのらべる,ペットボトルのラベル,容器包装プラスチック,容プラ,
3249,へっどほん,ヘッドホン,金属（エコ）,金属（エコ）,電池は取り外して「危険ごみ」。
3250,へっどほんはんがー,ヘッドホンハンガー,金属,金属,
3251,へっどまうんとでぃすぷれい,ヘッドマウントディスプレイ,金属（エコ）,金属（エコ）,
3252,べっとめりー,ベットメリー,金属,金属,
3253,ぺっとよういるい,ペット用衣類,燃やせるゴミ,可燃,
3254,ぺっとようえさやりたくみ,ペット用エサやり機,金属,金属,
3255,ぺっとようといれ,ペット用トイレ,その他プラスチック,他プラ,
3256,ぺっとようどらいやー,ペット用ドライヤー,金属,金属,
3257,ぺっとようばすたぶ,ペット用バスタブ,その他プラスチック,他プラ,
3258,ぺっとようひーたー,ペット用ヒーター,金属,金属,
3259,ぺっとようべっと,ペット用ベット,燃やせるゴミ,可燃,
3260,ぺっとようみずのみ（ぷらすちっくせい）,ペット用水飲み（プラスチック製）,その他プラスチック,他プラ,
3261,へっどれすと,ヘッドレスト,金属,金属,
3262,ぺっぱーみる（もくせい）,ペッパーミル（木製）,燃やせるゴミ,可燃,
3263,ぺっぱーみる（ぷらすちっくせい）,ペッパーミル（プラスチック製）,その他プラスチック,他プラ,
3264,ぺっぱーみる（きんぞくせい）,ペッパーミル（金属製）,金属,金属,
3265,ぺでぃきゅあのなかみ,ペディキュアの中身,燃やせるゴミ,可燃,
3266,ぺでぃきゅあようき（びん）,ペディキュア容器（瓶）,燃やせないごみ,不燃,
3267,ぺでぃきゅあようき（ぷらすちっくせい）,ペディキュア容器（プラスチック製）,その他プラスチック,他プラ,
3268,ぺなんと,ペナント,燃やせるゴミ,可燃,
3269,べにやいた,ベニヤ板,燃やせるゴミ,可燃,
3270,べびーかー,ベビーカー,金属,金属,
3271,べびーかーかばー,ベビーカーカバー,燃やせるゴミ,可燃,
3272,べびーかーすてっぷ,ベビーカーステップ,その他プラスチック,他プラ,
3273,べびーきゃりあ,ベビーキャリア,燃やせるゴミ,可燃,
3274,べびーげーと（もくせい）,ベビーゲート（木製）,燃やせるゴミ,可燃,
3275,べびーげーと（きんぞくせい）,ベビーゲート（金属製）,金属,金属,
3276,べびーさーくる,ベビーサークル,燃やせるゴミ,可燃,
3277,べびーすけーる,ベビースケール,金属,金属,
3278,べびーたんす,ベビーだんす,燃やせるゴミ,可燃,
3279,べびーちぇあ,ベビーチェア,燃やせるゴミ,可燃,
3280,べびーぱうだー,ベビーパウダー,燃やせるゴミ,可燃,
3281,べびーばす,ベビーバス,その他プラスチック,他プラ,
3282,べびーばすちぇあ,ベビーバスチェア,その他プラスチック,他プラ,
3283,べびーふーど（びにーるせい）,ベビーフード（ビニール製）,容器包装プラスチック,容プラ,
3284,べびーふく,ベビー服,衣類・布類,衣類・布類,
3285,べびーべっど,ベビーベッド,燃やせるゴミ,可燃,
3286,べびーようておしぐるま,ベビー用手押し車,金属,金属,
3287,へら（もくせい、しりこんせい）,ヘラ（木製、シリコン製）,燃やせるゴミ,可燃,
3288,へら（ぷらすちっくせい）,ヘラ（プラスチック製）,その他プラスチック,他プラ,
3289,へら（きんぞくせい）,ヘラ（金属製）,金属,金属,
3290,べらんだすとっかー,ベランダストッカー,その他プラスチック,他プラ,
3291,べらんだまっと（もくせい）,ベランダマット（木製）,燃やせるゴミ,可燃,
3292,べらんだまっと（ぷらすちっくせい）,ベランダマット（プラスチック製）,その他プラスチック,他プラ,
3293,べらんだまっと（じんこうしばたいぷのもの）,ベランダマット（人工芝タイプのもの）,その他プラスチック,他プラ,
3294,へりうむがすかん,ヘリウムガス缶,危険,危険,
3295,へりうむがすぼんべ（つかうきりたいぷ）,ヘリウムガスボンベ（使い切りタイプ）,危険,危険,
3296,べると（ぬのせい・かわせい）,ベルト（布製・革製）,燃やせるゴミ,可燃,バックル部分は「金属」。
3297,べると（びにーるせい）,ベルト（ビニール製）,その他プラスチック,他プラ,バックル部分は「金属」。
3298,へるめっと,ヘルメット,その他プラスチック,他プラ,
3299,へるめっとようかばー,ヘルメット用カバー,燃やせるゴミ,可燃,
3300,へるめっとようしーるど,ヘルメット用シールド,その他プラスチック,他プラ,
3301,べんき（かず・ひろし）,便器（和・洋）,燃やせないごみ,不燃,
3302,ぺんき,ペンキ,処理困難物,処理困難物,"販売店または専門の処理業者へ依頼。
残塗料処理剤を使って固めるまたは、少量であれば紙等に染み込ませて乾燥させれば「可燃」。"
3303,ぺんきのほとぎ,ペンキの缶,金属,金属,
3304,ぺんきのすぷれーかん,ペンキのスプレー缶,危険,危険,
3305,ぺんきゃっぷ（ぷらすちっくせい）,ペンキャップ（プラスチック製）,その他プラスチック,他プラ,
3306,ぺんきゃっぷ（きんぞくせい）,ペンキャップ（金属製）,金属,金属,
3307,ぺんきろーらー,ペンキローラー,金属,金属,
3308,べんざ（べんざぶぶんのみ）,便座（便座部分のみ）,その他プラスチック,他プラ,汚物は取り除く。
3309,べんざ（うぉしゅれっと、ひーたーつき）,便座（ウォシュレット、ヒーター付き）,金属,金属,汚物は取り除く。
3310,べんざかばー,便座カバー,燃やせるゴミ,可燃,
3311,べんざのふた（もくせい）,便座のフタ（木製）,燃やせるゴミ,可燃,
3312,べんざのふた（ぷらすちっくせい）,便座のフタ（プラスチック製）,その他プラスチック,他プラ,
3313,べんち,ベンチ,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
3314,ぺんち,ペンチ,金属,金属,
3315,べんとうばこ（かみせい）,弁当箱（紙製）,燃やせるゴミ,可燃,
3316,べんとうばこ（ぷらすちっくせい）,弁当箱（プラスチック製）,その他プラスチック,他プラ,
3317,べんとうばこ（きんぞく）,弁当箱（金属）,金属,金属,
3318,べんとう・しょくひんとうのちょうみりょうふくろ,弁当・食品等の調味料袋,容器包装プラスチック,容プラ,中身は取り除く。汚れが取れない物は「可燃」。
3319,べんとうようき（こんびにとうのべんとうようき）,弁当容器（コンビニ等の弁当容器）,容器包装プラスチック,容プラ,異物は取り除き、水で軽く洗う。
3320,ぺんらいと,ペンライト,金属,金属,電池は取り除いて「危険ごみ」。
3321,ほいーる（しゃりょうよう）,ホイール（車両用）,金属,金属,
3322,ほいーるきゃっぷ,ホイールキャップ,金属,金属,
3323,ほいっする,ホイッスル,金属,金属,
3324,ほいっぷくりーむのほとぎ（すぷれーかんしき）,ホイップクリームの缶（スプレー缶式）,危険,危険,
3325,ささげ（もくせい）,棒（木製）,燃やせるゴミ,可燃,
3326,ささげ（ぷらすちっくせい）,棒（プラスチック製）,その他プラスチック,他プラ,
3327,ささげ（きんぞくせい）,棒（金属製）,金属,金属,
3328,ほういじしゃく,方位磁石,金属,金属,
3329,ぼうえんかばー,防炎カバー,燃やせないごみ,不燃,
3330,ぼうえんきょう,望遠鏡,金属,金属,
3331,ぼうえんくろす,防炎クロス,燃やせないごみ,不燃,
3332,ぼうかびようのくんえんざい,防かび用のくん煙剤,金属,金属,
3333,ほうき（たけせい）,ほうき（竹製）,燃やせるゴミ,可燃,集積所の清掃用具と区別するため、張り紙で「ごみ」と表示する。
3334,ほうき（ぷらすちっくせい）,ほうき（プラスチック製）,その他プラスチック,他プラ,集積所の清掃用具と区別するため、張り紙で「ごみ」と表示する。
3335,ほうこうざいようき（ぷらすちっくせい）,芳香剤容器（プラスチック製）,その他プラスチック,他プラ,
3336,ほうこうざいようき（きんぞくせい）,芳香剤容器（金属製）,金属,金属,
3337,ほうこうざいようき（びん）,芳香剤容器（びん）,燃やせないごみ,不燃,
3338,ぼうさいしーと,防災シート,その他プラスチック,他プラ,
3339,ぼうさいずきん,防災頭巾,燃やせるゴミ,可燃,
3340,ぼうさびじゅんかつざいのようき（かていよう）,防錆潤滑剤の容器（家庭用）,危険,危険,
3341,ぼうし,帽子,燃やせるゴミ,可燃,
3342,ぼうしかけ,帽子掛け,燃やせるゴミ,可燃,
3343,ほうしゃせいぶっしつ,放射性物質,処理困難物,処理困難物,
3344,ぼうじんますく（ぬのせい）,防塵マスク（布製）,燃やせるゴミ,可燃,
3345,ぼうじんますく（きゅうしゅうかんつき）,防塵マスク（吸収缶付き）,金属,金属,
3346,ぼうすいかばー,防水カバー,その他プラスチック,他プラ,
3347,ぼうすいぎ,防水着,衣類・布類,衣類・布類,
3348,ぼうすいしーつ、きゅうすいしーつ,防水シーツ、吸水シーツ,燃やせるゴミ,可燃,
3349,ほうせきばこ・すたんど（きんぞくせい）,宝石箱・スタンド（金属製）,金属,金属,
3350,ほうせきばこ・すたんど（がらすせい）,宝石箱・スタンド（ガラス製）,燃やせないごみ,不燃,
3351,ほうそうざい（かみせい）,包装材（紙製）,雑誌・雑紙,雑誌・雑紙,
3352,ほうそうざい（ぷらすちっくせい）,包装材（プラスチック製）,容器包装プラスチック,容プラ,
3353,ほうそうし,包装紙,雑誌・雑紙,雑誌・雑紙,
3354,ふせぎそうしーと（ぬのせい）,防草シート（布製）,燃やせるゴミ,可燃,
3355,ふせぎそうしーと（ぷらすちっくせい）,防草シート（プラスチック製）,その他プラスチック,他プラ,
3356,ほうたい,包帯,燃やせるゴミ,可燃,
3357,つつみおびどめ,包帯どめ,金属,金属,
3358,ぼうちゅうかばー,防虫カバー,燃やせるゴミ,可燃,
3359,ぼうちゅうざい（いるいよう）,防虫剤（衣類用）,燃やせるゴミ,可燃,
3360,ぼうちゅうざい（おくかた）,防虫剤（置き方）,燃やせるゴミ,可燃,
3361,ぼうちゅうざい（ぷれーとたいぷ）,防虫剤（プレートタイプ）,その他プラスチック,他プラ,
3362,ぼうちゅうざい（すぷれーかんしき）,防虫剤（スプレー缶式）,危険,危険,
3363,ぼうちゅうざいのけーす,防虫剤のケース,その他プラスチック,他プラ,
3364,ぼうちゅうしーと,防虫シート,燃やせるゴミ,可燃,
3365,ほうちょう,包丁,金属,金属,刃部分を紙等で包み、「刃物」と表示して出す。
3366,ほうちょうとぎ,包丁とぎ,金属,金属,
3367,ぼうどくますく,防毒マスク,金属,金属,
3368,ぼうはんすぷれー,防犯スプレー,危険,危険,
3369,ぼうはんぶざー,防犯ブザー,金属,金属,電池は取り除いて「危険ごみ」。
3370,ぼうはんたからまどろっく（ぷらすちっくせい）,防犯用窓ロック（プラスチック製）,その他プラスチック,他プラ,
3371,ぼうはんたからまどろっく（きんぞくせい）,防犯用窓ロック（金属製）,金属,金属,
3372,ぼうふざい,防腐剤,処理困難物,処理困難物,
3373,ぼうゆます（げすいどうようたくないしょう）のあぶらかするい,防油ます（下水道用宅内升）の油かす類,燃やせるゴミ,可燃,
3374,ぼうゆます・ぐりーすとらっぷ（げすいどうようたくないしょう）のあぶらかするい,防油ます・グリーストラップ（下水道用宅内升）の油かす類,燃やせるゴミ,可燃,
3375,ぼうりんぐのたま,ボウリングの玉,燃やせないごみ,不燃,
3376,ぼうる（もくせい）,ボウル（木製）,燃やせるゴミ,可燃,
3377,ぼうる（ぷらすちっくせい）,ボウル（プラスチック製）,その他プラスチック,他プラ,
3378,ぼうる（きんぞくせい）,ボウル（金属製）,金属,金属,
3379,ぼうる（がらすせい）,ボウル（ガラス製）,燃やせないごみ,不燃,
3380,ぽーしょん（がむしろっぷとうのぷらすちっくようき）,ポーション（ガムシロップ等のプラスチック容器）,容器包装プラスチック,容プラ,
3381,ほーす（ごむせい）,ホース（ゴム製）,燃やせるゴミ,可燃,
3382,ほーす（びにーるせい）,ホース（ビニール製）,その他プラスチック,他プラ,
3383,ほーすかばー,ホースカバー,燃やせるゴミ,可燃,
3384,ほーすぐりっぷ,ホースグリップ,金属,金属,
3385,ほーすばんど,ホースバンド,金属,金属,
3386,ほーすりーる（ぷらすちっくせい）,ホースリール（プラスチック製）,その他プラスチック,他プラ,
3387,ほーすりーる（きんぞくせい）,ホースリール（金属製）,金属,金属,
3388,ほーすりーるだい,ホースリール台,その他プラスチック,他プラ,
3389,ぽーたぶるおんがくぷれいやー,ポータブル音楽プレイヤー,金属（エコ）,金属（エコ）,充電式電池を取り除いて「危険ごみ」。取り除くことが出来なければそのまま「危険ごみ」。
3390,ぽーたぶるせんぷうき,ポータブル扇風機,金属,金属,充電式電池を取り除いて「危険ごみ」。取り除くことが出来なければそのまま「危険ごみ」。
3391,ぽーたぶるてれび,ポータブルテレビ,金属（エコ）,金属（エコ）,電源として一次電池又は蓄電池を使用する液晶テレビ。
3392,ぽーたぶるといれ,ポータブルトイレ,その他プラスチック,他プラ,汚物は取り除く。
3393,ぽーち・けしょうぽーち,ポーチ・化粧ポーチ,燃やせるゴミ,可燃,
3394,ぼーどげーむ,ボードゲーム,燃やせるゴミ,可燃,
3395,ほーむさうな,ホームサウナ,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
3396,ほーむたんく（おくがいよう、きゅうぜろ?をこえるもの）,ホームタンク（屋外用、90?を超えるもの）,その他プラスチック,他プラ,
3397,ほーむべーかりー,ホームベーカリー,金属,金属,
3398,ほーむらっく（もくせい）,ホームラック（木製）,燃やせるゴミ,可燃,
3399,ほーむらっく（きんぞく）,ホームラック（金属）,金属,金属,
3400,ほーむろっかー,ホームロッカー,金属,金属,
3401,ぼーりんぐしゅーず,ボーリングシューズ,燃やせるゴミ,可燃,
3402,ぼーる(さっかー、てにすなど),ボール(サッカー、テニスなど),燃やせるゴミ,可燃,中身が空洞なボールは「可燃」。
3403,ぼーる(ごるふ、げーとぼーる、ぼーりんぐなど),ボール(ゴルフ、ゲートボール、ボーリングなど),燃やせないごみ,不燃,中身が詰まっているボール「金属・不燃」。
3404,ぼーるすとっぱー,ボールストッパー,金属,金属,
3405,ぼーるはうす,ボールハウス,燃やせるゴミ,可燃,
3406,ぼーるはんがー,ボールハンガー,燃やせるゴミ,可燃,
3407,ぼーるぺん（ぷらすちっくせい）,ボールペン（プラスチック製）,その他プラスチック,他プラ,
3408,ぼーるぺん（きんぞくせい）,ボールペン（金属製）,金属,金属,
3409,ほーろーせいひん,ホーロー製品,燃やせないごみ,不燃,
3410,ほおんかっぷ（ぷらすちっくせい）,保温カップ（プラスチック製）,その他プラスチック,他プラ,
3411,ほおんき,保温機,金属,金属,
3412,ほおんしーと,保温シート,燃やせるゴミ,可燃,
3413,ほおんじゃー,保温ジャー,金属,金属,
3414,ほおんなべ,保温鍋,金属,金属,
3415,ほおんぷれーと（せきばん、せらみっくせい）,保温プレート（石版、セラミック製）,金属,金属,
3416,ほおんべんとうばこ,保温弁当箱,金属,金属,
3417,ぼくじゅう・こけいすみ,墨汁・固形墨,燃やせるゴミ,可燃,
3418,きがたな,木刀,燃やせるゴミ,可燃,
3419,ぽけっとてぃっしゅのこふくろ,ポケットティッシュの個袋,容器包装プラスチック,容プラ,
3420,ぽけっとべる,ポケットベル,金属,金属,電池は取り除いて「危険ごみ」。
3421,ほこうき（こどもようゆうぐ）,歩行器（子供用遊具）,金属,金属,
3422,ほこり,埃,燃やせるゴミ,可燃,
3423,ほじょべんざ,補助便座,その他プラスチック,他プラ,
3424,ぽすたー,ポスター,雑誌・雑紙,雑誌・雑紙,
3425,ほせいしたぎ,補正下着,燃やせるゴミ,可燃,
3426,ほぞんしょく（ぷらすちっくようきにはいるているもの）,保存食品（プラスチック容器に入っているもの）,燃やせるゴミ,可燃,
3427,ほぞんびん,保存ビン,燃やせないごみ,不燃,
3428,ほたるいし,蛍石,自己搬入,自己搬入,土のう2袋以内であればエコ・ステーション、3袋以上であれば津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック８ページ参照）。
3429,ぼたん（ぷらすちっくせい）,ボタン（プラスチック製）,その他プラスチック,他プラ,
3430,ぼたんでんち,ボタン電池,危険,危険,
